,Abe Fortas,Anthony M. Kennedy,Antonin Scalia,Arthur J. Goldberg,Brett M. Kavanaugh,Byron R. White,Charles E. Whittaker,Clarence Thomas,David H. Souter,Earl Warren,Elena Kagan,Felix Frankfurter,Harold Burton,Harry A. Blackmun,Hugo L. Black,John M. Harlan II,John Paul Stevens,Neil Gorsuch,Potter Stewart,Ruth Bader Ginsburg,Sandra Day O'Connor,Sherman Minton,Sonia Sotomayor,Stanley Reed,Stephen G. Breyer,Thurgood Marshall,Tom C. Clark,Warren E. Burger,William H. Rehnquist,William O. Douglas
1958-04-08,0,0,0,0,0,0,80,0,0,1943,0,142,567,0,110,0,0,0,0,0,0,0,0,0,0,0,43,0,0,894
1958-04-09,0,0,0,0,0,0,433,0,0,60,0,6994,0,0,432,0,0,0,2088,0,0,0,0,0,0,0,172,0,0,178
1958-04-10,0,0,0,0,0,0,190,0,0,131,0,11654,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271
1958-04-28,9082,0,0,0,0,0,344,0,0,21,0,5469,0,0,503,0,0,0,0,0,0,0,0,0,0,0,206,0,0,28
1958-04-29,0,0,0,0,0,0,241,0,0,3420,0,12253,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,117,0,0,11
1958-04-30,0,0,0,0,0,0,539,0,0,113,0,1037,234,0,42,0,0,0,0,0,0,0,0,0,0,0,633,0,0,262
1958-05-01,0,0,0,0,0,0,1064,0,0,78,0,11335,0,0,4159,0,0,0,0,0,0,0,0,0,0,0,524,0,0,263
1958-05-19,0,0,0,0,0,0,1113,0,0,4034,0,5723,332,0,1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
1958-05-20,0,0,0,0,0,0,1511,0,0,1422,0,2586,59,0,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
1958-05-21,0,0,0,0,0,0,773,0,0,5975,0,4872,0,0,3186,0,0,0,0,0,0,0,0,0,0,0,170,0,0,86
1958-09-11,0,0,0,0,0,0,22,0,0,1140,0,745,83,0,788,0,0,0,0,0,0,0,0,0,0,16353,1210,0,0,676
1958-11-10,0,0,0,39965,0,0,153,0,0,3055,0,4211,0,0,93,0,0,0,890,0,0,0,0,0,0,0,26,0,0,853
1958-11-12,0,0,0,0,0,0,5073,0,0,1499,0,11872,0,0,3473,0,0,0,1226,0,0,0,0,0,0,0,95,0,0,359
1958-11-13,0,0,0,0,0,0,201,0,0,437,0,3741,0,0,11,0,0,0,336,0,0,0,0,0,0,0,331,0,0,33
1958-11-17,0,0,0,0,0,0,1126,0,0,7513,0,2459,0,0,474,0,0,0,1904,0,0,0,0,0,0,0,0,0,0,477
1958-11-18,0,0,0,0,0,0,392,0,0,235,0,2294,0,0,1942,0,0,0,1806,0,0,0,0,0,0,0,0,0,0,254
1958-11-19,0,0,0,0,0,0,2522,0,0,3604,0,1017,0,0,3219,0,0,0,297,0,0,0,0,0,0,0,0,0,0,454
1958-11-20,0,0,0,0,0,0,4433,0,0,5320,0,7748,0,0,2068,0,0,0,1544,0,0,0,0,0,0,0,0,0,0,674
1958-12-08,0,0,0,0,0,0,22,0,0,3696,0,0,0,0,3296,0,0,0,433,0,0,0,0,0,0,0,0,0,0,114
1958-12-09,0,0,0,0,0,0,2806,0,0,3407,0,0,0,0,8414,0,0,0,1621,0,0,0,0,0,0,0,339,0,0,121
1958-12-10,0,0,0,0,0,0,1614,0,0,253,0,118,0,0,1257,0,0,0,420,0,0,0,0,0,0,0,1252,0,0,406
1958-12-11,0,0,0,0,0,0,1174,0,0,64,0,0,0,0,7926,0,0,0,2217,0,0,0,0,0,0,0,85,0,0,188
1959-01-12,0,0,0,0,0,0,409,0,0,5058,0,660,0,0,2822,0,0,0,52,0,0,0,0,0,0,0,245,0,0,22
1959-01-13,0,0,0,0,0,0,2552,0,0,108,0,1953,0,0,772,0,0,0,97,0,0,0,0,0,0,0,18,0,0,948
1959-01-14,0,0,0,0,0,0,93,0,0,1442,0,1352,0,0,115,0,0,0,2059,0,0,0,0,0,0,0,49,0,0,0
1959-01-15,0,0,0,0,0,0,293,0,0,1189,0,1340,0,0,1734,0,0,0,2520,0,0,0,0,0,0,0,362,0,0,19
1959-01-19,0,0,0,0,0,0,124,0,0,1965,0,6093,0,0,36,0,0,0,1623,0,0,0,0,0,0,0,483,0,0,410
1959-01-20,0,0,0,0,0,0,620,0,0,1935,0,11845,0,0,5090,0,0,0,1573,0,0,0,0,0,0,0,0,0,0,1481
1959-01-21,0,0,0,0,0,0,99,0,0,811,0,68,0,0,3438,0,0,0,10243,0,0,0,0,0,0,0,0,0,0,0
1959-01-22,0,0,0,0,0,0,55,0,0,393,0,4257,0,0,71,0,0,0,1720,0,0,0,0,0,0,0,178,0,0,54
1959-02-24,0,0,0,0,0,0,106,0,0,1305,0,5540,0,0,583,0,0,0,546,0,0,0,0,0,0,0,95,0,0,0
1959-02-25,0,0,0,0,0,0,1752,0,0,1234,0,4555,0,0,1606,0,0,0,391,0,0,0,0,0,0,0,444,0,0,58
1959-02-26,0,0,0,0,0,0,2595,0,0,1812,0,9382,0,0,5241,0,0,0,973,0,0,0,0,0,0,0,527,0,0,459
1959-03-02,0,0,0,0,0,0,191,0,0,165,0,8756,0,0,57,0,0,0,3019,0,0,0,0,0,0,0,44,0,0,313
1959-03-03,0,0,0,0,0,0,445,0,0,333,0,3704,0,0,1423,0,0,0,520,0,0,0,0,0,0,0,0,0,0,38
1959-03-04,0,0,0,0,0,0,38,0,0,1517,0,9180,0,0,3412,0,897,0,1263,0,0,0,0,0,0,0,82,0,0,77
1959-03-05,0,0,0,0,0,0,343,0,0,2638,0,7920,0,0,3601,0,0,0,108,0,0,0,0,0,0,0,276,0,0,485
1959-03-23,0,0,0,0,0,0,397,0,0,289,0,7277,0,0,3562,0,0,0,1022,0,0,0,0,0,0,0,1493,0,0,274
1959-03-24,0,0,0,0,0,0,1452,0,0,1841,0,7320,0,0,1207,0,0,0,659,0,0,0,0,0,0,34736,123,0,0,352
1959-03-25,0,0,0,0,0,0,442,0,0,633,0,7035,0,0,203,0,0,0,667,0,0,0,0,0,0,0,187,0,0,160
1959-03-26,0,0,0,0,0,0,130,0,0,832,0,4479,0,0,1095,0,0,0,1453,0,0,0,0,0,0,0,33,0,0,416
1959-03-30,0,0,0,0,0,0,11,0,0,189,0,6258,0,0,34,0,0,0,1334,0,0,0,0,0,0,0,0,0,0,26
1959-03-31,0,0,0,0,0,0,265,0,0,114,0,5626,0,0,4885,0,0,0,1293,0,0,0,0,0,0,0,562,0,0,757
1959-04-01,0,0,0,126,0,0,1080,0,0,1243,0,2513,0,0,30,0,0,0,58,0,0,0,0,0,0,0,153,0,0,44
1959-04-02,0,0,0,0,0,11,193,0,0,1120,0,3678,0,0,67,89,0,0,897,0,0,0,0,0,0,0,1295,0,0,137
1959-04-20,0,0,0,0,0,0,1917,0,0,5078,0,6521,0,0,1568,0,0,0,769,0,0,0,0,0,0,0,205,0,0,0
1959-04-21,0,0,0,0,0,0,1387,0,0,480,0,1886,0,0,54,0,0,0,971,0,0,0,0,0,0,0,0,0,0,0
1959-04-22,0,0,0,0,0,0,44,0,0,394,0,5659,0,0,1753,0,0,0,310,0,0,0,0,0,0,0,54,0,0,322
1959-04-23,0,0,0,0,0,0,498,0,0,4966,0,13188,0,0,4728,0,0,0,2802,0,0,0,0,0,0,0,0,0,0,141
1959-04-27,0,0,0,0,0,0,821,0,0,1811,0,17809,0,0,5418,0,0,0,1624,0,0,0,0,0,0,0,208,0,0,73
1959-04-28,0,0,0,0,0,0,726,0,0,172,0,3560,0,0,4516,0,0,0,735,0,0,0,0,0,0,0,53,0,0,183
1959-04-29,0,0,0,0,0,0,52,0,0,25,0,8700,0,0,3139,0,0,0,484,0,0,0,0,0,0,0,0,0,0,244
1959-04-30,0,0,0,0,0,0,78,0,0,1697,0,2418,0,0,0,0,0,0,2684,0,0,0,0,0,0,0,582,0,0,0
1959-05-18,0,0,0,0,0,0,820,0,0,194,0,4344,0,0,80,0,0,0,328,0,0,0,0,0,0,0,642,0,0,30
1959-05-19,0,0,0,0,0,0,524,0,0,1045,0,3189,0,0,856,0,0,0,395,0,0,0,0,0,0,0,0,0,0,87
1959-05-20,0,0,0,0,0,0,234,0,0,28,0,1687,0,0,249,0,0,0,1855,0,0,0,0,0,0,0,892,0,0,133
1959-05-21,0,0,0,0,0,0,884,0,0,102,0,3921,0,0,868,0,0,0,349,0,0,0,0,0,0,0,0,0,0,28
1959-11-03,0,0,0,12448,0,0,130,0,0,773,0,1649,0,0,3594,0,0,0,894,0,0,0,0,0,0,0,346,0,0,107
1959-11-09,0,0,0,0,0,0,1410,0,0,112,0,3889,0,0,1003,0,0,0,0,0,0,0,0,0,0,0,298,0,0,79
1959-11-10,0,0,0,0,0,0,1491,0,0,122,0,4016,0,0,1185,0,0,0,629,0,0,0,0,0,0,0,573,0,0,613
1959-11-12,0,0,0,0,0,0,313,0,0,287,0,3036,0,0,320,0,0,0,2337,0,0,0,0,0,0,0,0,0,0,47
1959-11-16,0,0,0,0,0,0,428,0,0,905,0,3689,0,0,1760,0,0,0,64,0,0,0,0,0,0,0,189,0,0,61
1959-11-17,0,0,0,0,0,0,395,0,0,130,0,5184,0,0,0,0,0,0,359,0,0,0,0,0,0,0,0,0,0,81
1959-11-18,0,0,0,0,0,0,130,0,0,143,0,725,0,0,2064,0,0,0,242,0,0,0,0,0,0,0,843,0,0,0
1959-11-19,0,0,0,0,0,0,2076,0,0,55,0,8502,0,0,26,0,0,0,2050,0,0,0,0,0,0,0,178,0,0,0
1959-12-07,0,0,0,0,0,0,448,0,0,552,0,1660,0,0,1060,0,0,0,350,0,0,0,0,0,0,0,85,0,0,209
1959-12-08,0,0,0,0,0,0,753,0,0,125,0,4600,0,0,203,0,0,0,70,0,0,0,0,0,0,0,38,0,0,123
1959-12-09,0,0,0,0,0,0,1440,0,0,6719,0,3540,0,0,68,0,0,0,95,0,0,0,0,0,0,0,120,0,0,337
1959-12-10,0,0,0,0,0,0,948,0,0,1770,0,956,0,0,1414,0,0,0,306,0,0,0,0,0,0,0,36,0,0,434
1960-01-11,0,0,0,0,0,0,1064,0,0,408,0,4253,0,0,204,0,0,0,215,0,0,0,0,0,0,0,86,0,0,67
1960-01-12,0,0,0,0,0,0,2599,0,0,3802,0,6280,0,0,1475,0,0,0,0,0,0,0,0,0,0,0,105,0,0,180
1960-01-13,0,0,0,0,0,0,477,0,0,1465,0,154,0,0,238,0,0,0,710,0,0,0,0,0,0,0,239,0,0,11
1960-01-14,0,0,0,0,0,0,1910,0,0,1192,0,8038,0,0,2491,0,0,0,538,0,0,0,0,0,0,0,1060,0,0,194
1960-01-18,0,0,0,0,0,0,1353,0,0,818,0,962,0,0,4781,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0
1960-01-19,0,0,0,0,0,0,2186,0,0,1606,0,2049,0,0,583,0,0,0,98,0,0,0,0,0,0,0,134,0,0,339
1960-01-20,0,0,0,0,0,0,264,0,0,2575,0,4445,0,0,262,0,0,0,372,0,0,0,0,0,0,0,174,0,0,93
1960-01-21,0,0,0,0,0,0,4134,0,0,1949,0,9176,0,0,1012,0,0,0,1776,0,0,0,0,0,0,0,0,0,0,17
1960-02-23,0,0,0,0,0,0,5538,0,0,2955,0,16429,0,0,7601,0,0,0,947,0,0,0,0,0,0,0,394,0,0,858
1960-02-24,0,0,0,0,0,0,846,0,0,1183,0,6901,0,0,3824,0,0,0,1057,0,0,0,0,0,0,0,121,0,0,482
1960-02-25,0,0,0,0,0,0,2359,0,0,1007,0,8910,0,0,1507,0,0,0,1741,0,0,0,0,0,0,0,0,0,0,0
1960-02-29,0,0,0,0,0,0,1133,0,0,1228,0,7257,0,0,2342,0,0,0,118,0,0,0,0,0,0,0,0,0,0,1494
1960-03-01,0,0,0,0,0,0,1422,0,0,1627,0,5236,0,0,2762,0,0,0,54,0,0,0,0,0,0,0,31,0,0,595
1960-03-02,0,0,0,0,0,0,1122,0,0,403,0,8626,0,0,6012,0,0,0,252,0,0,0,0,0,0,0,0,0,0,308
1960-03-03,0,0,0,0,0,0,2793,0,0,1713,0,8617,0,0,136,0,0,0,130,0,0,0,0,0,0,0,3335,0,0,351
1960-03-21,0,0,0,0,0,0,3267,0,0,3398,0,9031,0,0,2344,0,0,0,683,0,0,0,0,0,0,0,293,0,0,416
1960-03-22,0,0,0,0,0,0,3097,0,0,3773,0,8920,0,0,7338,0,0,0,809,0,0,0,0,0,0,0,0,0,0,70
1960-03-23,0,0,0,0,0,0,557,0,0,1170,0,2512,0,0,3021,0,0,0,724,0,0,0,0,0,0,0,21,0,0,1456
1960-03-28,0,0,0,0,0,0,789,0,0,2432,0,10642,0,0,1203,0,0,0,897,0,0,0,0,0,0,0,105,0,0,331
1960-03-29,0,0,0,0,0,0,458,0,0,831,0,4277,0,0,1387,0,0,0,165,0,0,0,0,0,0,0,0,0,0,932
1960-03-30,0,0,0,0,0,0,2168,0,0,801,0,3045,0,0,485,0,0,0,276,0,0,0,0,0,0,0,286,0,0,94
1960-03-31,0,0,0,0,0,0,2300,0,0,695,0,2460,0,0,1363,0,0,0,97,0,0,0,0,0,0,0,1467,0,0,456
1960-04-18,0,0,0,0,0,0,181,0,0,1167,0,10150,0,0,165,0,0,0,612,0,0,0,0,0,0,0,0,0,0,247
1960-04-19,0,0,0,0,0,0,161,0,0,199,0,446,0,0,2214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950
1960-04-20,0,0,0,0,0,0,877,0,0,287,0,3302,0,0,687,0,0,0,991,0,0,0,0,0,0,0,0,0,0,148
1960-04-21,0,0,0,0,0,0,1043,0,0,2450,0,6141,0,0,874,0,0,0,1164,0,0,0,0,0,0,0,164,0,0,0
1960-04-25,0,0,0,0,0,0,49,0,0,4793,0,5119,0,0,593,0,0,0,1248,0,0,0,0,0,0,0,120,0,0,0
1960-04-26,0,0,0,0,0,0,101,0,0,230,0,1988,0,0,3474,0,0,0,969,0,0,0,0,0,0,0,107,0,0,538
1960-04-27,0,0,0,0,0,0,889,0,0,245,0,10768,0,0,4639,0,0,0,1487,0,0,0,0,0,0,0,0,0,0,0
1960-04-28,26131,0,0,0,0,0,2019,0,0,1164,0,9400,0,0,9871,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,857
1960-05-02,0,0,0,0,0,0,0,0,0,2015,0,5231,0,0,270,0,0,0,18,0,0,0,0,0,0,0,0,0,0,215
1960-05-16,0,0,0,0,0,0,108,0,0,272,0,1209,0,0,8,0,0,0,320,0,0,0,0,0,0,0,258,0,0,11
